locationid,year,month,temperature,latitude,longitude,elevation,station,countryid,country,latabs
PL000012120,2019,1,0.55,54.75,17.5331,2.0,LEBA,PL,Poland,54.75
PL000012385,2019,1,-2.73,52.25,22.25,152.0,SIEDLCE,PL,Poland,52.25
PLM00012160,2019,1,-2.14,54.167,19.433,43.0,ELBLAG_MILEJEWO,PL,Poland,54.167
PLM00012205,2019,1,1.25,53.4,14.617,7.0,SZCZECIN,PL,Poland,53.4
PLM00012295,2019,1,-3.85,53.1,23.167,151.0,BIALYSTOK,PL,Poland,53.1
PLM00012330,2019,1,-0.2,52.421,16.826,93.9,LAWICA,PL,Poland,52.421
PLM00012375,2019,1,-1.75,52.166,20.967,110.3,OKECIE,PL,Poland,52.166
PLM00012424,2019,1,0.15,51.103,16.886,123.1,STRACHOWICE,PL,Poland,51.103
PLM00012497,2019,1,-3.45,51.55,23.533,179.0,WLODAWA,PL,Poland,51.55
PLM00012566,2019,1,-1.65,50.078,19.785,241.1,BALICE,PL,Poland,50.078
PL000012120,2019,2,3.15,54.75,17.5331,2.0,LEBA,PL,Poland,54.75
PL000012385,2019,2,2.8,52.25,22.25,152.0,SIEDLCE,PL,Poland,52.25
PLM00012160,2019,2,1.85,54.167,19.433,43.0,ELBLAG_MILEJEWO,PL,Poland,54.167
PLM00012205,2019,2,4.4,53.4,14.617,7.0,SZCZECIN,PL,Poland,53.4
PLM00012295,2019,2,2.15,53.1,23.167,151.0,BIALYSTOK,PL,Poland,53.1
PLM00012330,2019,2,3.85,52.421,16.826,93.9,LAWICA,PL,Poland,52.421
PLM00012375,2019,2,3.75,52.166,20.967,110.3,OKECIE,PL,Poland,52.166
PLM00012424,2019,2,3.95,51.103,16.886,123.1,STRACHOWICE,PL,Poland,51.103
PLM00012497,2019,2,2.55,51.55,23.533,179.0,WLODAWA,PL,Poland,51.55
PLM00012566,2019,2,3.5,50.078,19.785,241.1,BALICE,PL,Poland,50.078
PL000012120,2019,3,5.3,54.75,17.5331,2.0,LEBA,PL,Poland,54.75
PL000012385,2019,3,5.55,52.25,22.25,152.0,SIEDLCE,PL,Poland,52.25
PLM00012160,2019,3,4.45,54.167,19.433,43.0,ELBLAG_MILEJEWO,PL,Poland,54.167
PLM00012205,2019,3,6.95,53.4,14.617,7.0,SZCZECIN,PL,Poland,53.4
PLM00012295,2019,3,4.55,53.1,23.167,151.0,BIALYSTOK,PL,Poland,53.1
PLM00012330,2019,3,6.85,52.421,16.826,93.9,LAWICA,PL,Poland,52.421
PLM00012375,2019,3,6.55,52.166,20.967,110.3,OKECIE,PL,Poland,52.166
PLM00012424,2019,3,7.7,51.103,16.886,123.1,STRACHOWICE,PL,Poland,51.103
PLM00012497,2019,3,5.1,51.55,23.533,179.0,WLODAWA,PL,Poland,51.55
PLM00012566,2019,3,6.5,50.078,19.785,241.1,BALICE,PL,Poland,50.078
PL000012120,2019,4,7.95,54.75,17.5331,2.0,LEBA,PL,Poland,54.75
PL000012385,2019,4,9.4,52.25,22.25,152.0,SIEDLCE,PL,Poland,52.25
PLM00012160,2019,4,8.65,54.167,19.433,43.0,ELBLAG_MILEJEWO,PL,Poland,54.167
PLM00012205,2019,4,10.15,53.4,14.617,7.0,SZCZECIN,PL,Poland,53.4
PLM00012295,2019,4,8.9,53.1,23.167,151.0,BIALYSTOK,PL,Poland,53.1
PLM00012330,2019,4,10.9,52.421,16.826,93.9,LAWICA,PL,Poland,52.421
PLM00012375,2019,4,10.7,52.166,20.967,110.3,OKECIE,PL,Poland,52.166
PLM00012424,2019,4,10.9,51.103,16.886,123.1,STRACHOWICE,PL,Poland,51.103
PLM00012497,2019,4,9.8,51.55,23.533,179.0,WLODAWA,PL,Poland,51.55
PLM00012566,2019,4,10.3,50.078,19.785,241.1,BALICE,PL,Poland,50.078
PL000012120,2019,5,11.1,54.75,17.5331,2.0,LEBA,PL,Poland,54.75
PL000012385,2019,5,13.25,52.25,22.25,152.0,SIEDLCE,PL,Poland,52.25
PLM00012160,2019,5,11.35,54.167,19.433,43.0,ELBLAG_MILEJEWO,PL,Poland,54.167
PLM00012205,2019,5,12.25,53.4,14.617,7.0,SZCZECIN,PL,Poland,53.4
PLM00012295,2019,5,13.05,53.1,23.167,151.0,BIALYSTOK,PL,Poland,53.1
PLM00012330,2019,5,12.45,52.421,16.826,93.9,LAWICA,PL,Poland,52.421
PLM00012375,2019,5,13.85,52.166,20.967,110.3,OKECIE,PL,Poland,52.166
PLM00012424,2019,5,12.25,51.103,16.886,123.1,STRACHOWICE,PL,Poland,51.103
PLM00012497,2019,5,13.9,51.55,23.533,179.0,WLODAWA,PL,Poland,51.55
PLM00012566,2019,5,12.8,50.078,19.785,241.1,BALICE,PL,Poland,50.078
PL000012120,2019,6,19.5,54.75,17.5331,2.0,LEBA,PL,Poland,54.75
PL000012385,2019,6,21.1,52.25,22.25,152.0,SIEDLCE,PL,Poland,52.25
PLM00012160,2019,6,19.95,54.167,19.433,43.0,ELBLAG_MILEJEWO,PL,Poland,54.167
PLM00012205,2019,6,21.6,53.4,14.617,7.0,SZCZECIN,PL,Poland,53.4
PLM00012295,2019,6,20.65,53.1,23.167,151.0,BIALYSTOK,PL,Poland,53.1
PLM00012330,2019,6,23.25,52.421,16.826,93.9,LAWICA,PL,Poland,52.421
PLM00012375,2019,6,22.9,52.166,20.967,110.3,OKECIE,PL,Poland,52.166
